Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Stuart Dallas,nir NIR,DFMF,30.0,93,58,31,4,56,105,53.3,49,45,14,31,150,63,2,5,0,0,33,30,2,101,0,1,0,219,32,34,48.5,1306,1685,77.5,20351,7389,730,812,89.9,440,539,81.6,99,227,43.6,1,2.8,2.5,-1.8,31,108,24,5,113,34,2919.0,86.0,85.4,34,86.0,31,0,,0,1.0,38.0,66.0,-28.0,-0.86,0.75,44.6,61.1,-16.5,-0.51,0.62,1,30,8,26.7,0.92,0.25,0.03,0.13,21.7,0,0,0,2.3,2.3,0.08,-1.3,-1.3,75,2.31,46,19,4,1,3,2,3,0.09,2,0,0,0,0,1
Raphinha,br BRA,FWMF,24.0,51,25,14,12,22,71,31.0,49,43,0,43,80,28,1,7,0,0,40,47,14,162,1,1,0,166,22,31,41.5,824,1301,63.3,13788,5181,399,497,80.3,275,420,65.5,99,259,38.2,3,8.3,6.2,-5.3,65,91,49,11,135,35,2915.0,83.0,85.2,34,84.0,26,1,45.0,0,1.0,34.0,68.0,-34.0,-1.05,-0.52,42.6,62.4,-19.8,-0.61,-0.08,11,84,21,25.0,2.59,0.65,0.08,0.33,21.4,10,4,4,11.3,8.1,0.1,-0.3,-1.1,136,4.2,77,25,15,9,8,2,10,0.31,5,0,2,0,2,1
Jack Harrison,eng ENG,FWMF,24.0,57,22,22,13,31,76,40.8,45,35,1,34,78,19,0,3,0,0,29,23,4,142,0,0,0,170,19,54,26.0,656,1045,62.8,9472,3280,407,510,79.8,187,300,62.3,36,117,30.8,1,3.6,2.5,-2.6,42,49,35,8,74,35,2639.0,75.0,77.2,32,77.0,20,3,55.0,2,0.89,31.0,68.0,-37.0,-1.26,-1.26,35.5,59.9,-24.4,-0.83,-1.02,8,43,17,39.5,1.47,0.58,0.19,0.47,17.2,0,0,0,4.9,4.9,0.11,3.1,3.1,86,2.93,55,7,11,8,4,1,4,0.14,1,0,1,2,0,0
Daniel James,wls WAL,FWMF,23.0,24,8,8,8,10,23,43.5,13,18,1,17,32,12,0,7,1,0,30,38,13,60,1,0,0,82,13,53,19.7,326,508,64.2,4327,1156,205,256,80.1,84,151,55.6,15,34,44.1,4,2.6,1.7,1.4,24,26,18,2,40,32,2366.0,74.0,69.2,29,78.0,18,3,33.0,0,1.0,31.0,48.0,-17.0,-0.65,1.06,36.9,47.4,-10.5,-0.4,0.65,4,50,15,30.0,1.9,0.57,0.08,0.27,15.3,0,0,0,6.8,6.8,0.14,-2.8,-2.8,53,2.02,34,0,4,7,8,0,5,0.19,2,0,1,1,1,0
Diego Llorente,es ESP,DF,27.0,53,32,19,2,33,47,70.2,14,35,17,18,93,77,2,7,0,0,23,21,0,2,0,0,0,171,49,64,43.4,1115,1373,81.2,21989,7473,335,389,86.1,648,712,91.0,118,225,52.4,0,0.1,0.2,-0.1,2,68,3,0,81,28,2340.0,84.0,68.4,28,84.0,24,0,,2,1.18,27.0,44.0,-17.0,-0.65,1.01,32.9,45.5,-12.6,-0.49,0.36,3,10,3,30.0,0.38,0.12,0.3,1.0,10.6,0,0,0,1.3,1.3,0.13,1.7,1.7,9,0.35,7,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Rodrigo,es ESP,MFFW,30.0,20,7,6,7,4,32,12.5,28,12,0,12,31,27,1,9,0,0,21,30,4,29,0,0,0,103,17,48,26.2,681,914,74.5,10329,2668,371,453,81.9,188,243,77.4,63,96,65.6,1,4.3,2.7,-3.3,38,54,31,6,75,31,2265.0,73.0,66.2,27,78.0,16,4,37.0,2,1.06,25.0,37.0,-12.0,-0.48,1.47,32.7,45.0,-12.3,-0.49,0.33,6,46,17,37.0,1.83,0.68,0.11,0.29,18.9,0,1,1,4.6,3.8,0.08,1.4,1.2,79,3.14,63,3,5,3,2,3,4,0.16,2,0,2,0,0,0
Luke Ayling,eng ENG,DF,29.0,74,46,23,5,51,97,52.6,46,46,25,21,102,52,1,4,1,0,22,19,2,31,0,1,0,187,34,50,40.5,1224,1592,76.9,22964,10551,535,606,88.3,517,619,83.5,154,294,52.4,2,2.0,1.0,0.0,12,98,11,4,102,26,2272.0,87.0,66.4,26,87.0,23,0,,0,0.85,30.0,66.0,-36.0,-1.43,-1.35,33.7,53.7,-20.0,-0.79,-0.57,2,19,3,15.8,0.75,0.12,0.11,0.67,13.0,0,0,0,1.6,1.6,0.09,0.4,0.4,32,1.27,23,1,0,7,0,1,5,0.2,1,0,0,3,0,1
Mateusz Klich,pl POL,MF,31.0,47,18,23,6,25,66,37.9,41,22,4,18,58,20,0,5,0,0,40,15,2,30,0,1,0,171,7,13,35.0,800,1026,78.0,11259,3630,453,514,88.1,240,314,76.4,38,84,45.2,2,2.3,2.0,-0.3,31,72,23,3,70,33,2073.0,63.0,60.6,26,71.0,7,7,33.0,4,0.97,24.0,52.0,-28.0,-1.22,-0.61,31.7,46.2,-14.6,-0.63,-0.08,1,42,18,42.9,1.82,0.78,0.02,0.06,21.4,0,0,0,3.8,3.8,0.09,-2.8,-2.8,78,3.38,64,4,3,4,3,0,8,0.35,7,0,0,1,0,0
Pascal Struijk,nl NED,DFMF,21.0,61,34,23,4,30,50,60.0,20,35,23,12,94,60,2,6,1,0,25,8,1,0,0,0,0,161,40,39,50.6,1089,1278,85.2,20168,6807,372,423,87.9,616,665,92.6,85,148,57.4,0,0.5,0.2,-0.5,11,62,1,0,62,29,2055.0,71.0,60.1,22,86.0,20,7,24.0,2,1.0,25.0,52.0,-27.0,-1.18,-0.52,29.3,41.5,-12.2,-0.54,0.16,1,11,3,27.3,0.48,0.13,0.09,0.33,9.1,0,0,0,1.6,1.6,0.16,-0.6,-0.6,21,0.92,18,0,0,2,0,1,1,0.04,0,0,0,1,0,0
Liam Cooper,sct SCO,DF,29.0,41,27,13,1,23,33,69.7,10,29,18,11,84,72,2,5,0,0,19,9,2,1,0,1,0,118,82,44,65.1,981,1183,82.9,18604,6591,335,378,88.6,547,600,91.2,86,171,50.3,1,0.2,0.2,0.8,4,31,0,0,39,21,1814.0,86.0,53.0,21,86.0,20,0,,1,1.19,20.0,26.0,-6.0,-0.3,1.44,25.3,34.6,-9.3,-0.46,0.29,0,6,1,16.7,0.3,0.05,0.0,0.0,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,13,0.64,11,0,1,1,0,0,2,0.1,1,0,0,1,0,0
